期号,日期,标题,主播,嘉宾,主题,关键词,文件名
第189期,2025-11-16,找事儿就会有事,李俊、王老师、老庄,,这一期我们聊了返回的神舟20号乘组、今年的百度世界大会、美国网红的社会实验以及日本有事，还有十一月的荐书。,互联网与平台；国际政治；媒体与信息；社会生活,pie-ep189.mp3.srt
第190期,2025-11-22,AI软件工程,李俊、王老师、老庄,,本期我们聊了 Cloudflare 事故、一些 AI 暴论、Gemini 3 与 AI 软件工程，还有近代史新的一集，关于“战后国际秩序”。,人工智能；软件开发,pie-ep190.mp3.srt
第191期,2025-11-30,Scaling时代终结,李俊、王老师、老庄,,这一期我们聊了 DeepSeek 新的数学模型、两个近期国际大事，还有可能就要到来的AI发展新阶段。,人工智能；数据与科学,pie-ep191.mp3.srt
第192期,2025-12-07,轻罪治理难题,李俊、王老师、老庄,,这一期我们聊了朱雀三号、某岛禁小红书、DeepSeek-V3.2 和 Z-Image Turbo、数据局推进数据要素学科建设，以及轻罪治理的难题。,人工智能；法律与治理；数据与科学,pie-ep192.mp3.srt
第193期,2025-12-14,帝国新纪元,李俊、王老师、老庄,,本期我们聊了小日子被雷达照射后发癫、LF旗下新基金会AAIF、今年的中国开源年会，还有对美国国家安全战略报告的解读。,人工智能；开源；国际政治,pie-ep193.mp3.srt
第194期,2025-12-21,大家都爱举国体制,李俊、王老师、老庄,,这期我们聊了一组小新闻，AI论文工厂与上课不抬头的学生，美国的举国体制，还有十二月的荐书。,人工智能；教育与学习；国际政治；经济与产业；媒体与信息,pie-ep194.mp3.srt
第195期,2025-12-28,你好2026,李俊、王老师、老庄,,这期是今年的年末回顾展望特辑，我们从几个大的方面对 2025 年进行了回顾，也做出了我们各自对 2026 年的预言；除此以外还聊了 NVIDIA 收购 Groq 以及海南封关的新闻。,媒体与信息,pie-ep195.mp3.srt
第196期,2026-01-04,AI编程学来了,李俊、王老师、老庄,,这期我们聊了美国入侵委内瑞拉、Meta 收购蝴蝶效应、欧盟的 USB-C 标准、围岛演习、年终盘点的盘点，还有 AI 编程学初探。,人工智能；软件开发；国际政治,pie-ep196.mp3.srt
第197期,2026-01-11,力量的正道,李俊、王老师、老庄,,这期我们聊了两用物项出口限制、AI眼镜考试作弊、中国AI创业公司的一组新闻、美国同行的开源大模型报告、展示和使用力量的正道还有最新一期名词鉴伪。,人工智能；开源；国际政治；媒体与信息,pie-ep197.mp3.srt
第198期,2026-01-18,研发都是冒险历程,李俊、王老师、老庄,,这一期我们聊了棋圣聂卫平、牢A和卡尼、AI涉黄第一案、工具党、引发讨论的AI论坛，还有1月的荐书。,人工智能,pie-ep198.mp3.srt
第199期,2026-01-25,不一样的达沃斯,李俊、王老师、老庄,,这一期我们聊了近期的几个新闻，还有达沃斯论坛、老庄的AI工作站以及X的推荐算法。,人工智能；国际政治；媒体与信息；社会生活,pie-ep199.mp3.srt
第200期,2026-02-01,进化,李俊、王老师、老庄,,这一期我们聊了日本和美国的近况，AI 吹牛不犯法，春节 AI 大比武，OpenClaw 席卷互联网，新一轮 OPC 风潮，还有我们节目 200 期纪念小专题。,人工智能；互联网与平台；国际政治；社会生活；节目与社群,pie-ep200.mp3.srt
第201期,2026-02-08,AI时代的开源,李俊、王老师、老庄,,这一期我们聊了另一种春节AI大战，听友关于OPC的观点，中高考的暴论，老庄的AI工具箱项目进展，AI对开源的影响，以及经典阴谋论的集大成者爱泼斯坦。,人工智能；开源；教育与学习；媒体与信息；社会生活；节目与社群,pie-ep201.mp3.srt
第202期,2026-02-13,浓浓的年味儿,李俊、王老师、老庄,,我们农历蛇年的最后一期节目，聊了舌尖上的钟馗、春节AI大战最新战况、数字治理春节专项、“Becoming Chinese”、自民党的大胜背后，以及大佬们锐评AI编程。提前祝大家马年顺遂身体健康万事如意！,人工智能；软件开发；法律与治理；社会生活；节目与社群,pie-ep202.mp3.srt
第203期,2026-03-01,天下一家,李俊、王老师、老庄,,这期我们聊了春晚、新年给军国主义的第一棒、美国AI大厂和战争部大乱斗、AI产品如何渗透进最偏远的人类领地、还有中科院停止资助在部分英语期刊发论文。,人工智能；软件开发；互联网与平台；国际政治；航天与军事,pie-ep203.mp3.srt
第204期,2026-03-07,千问与玄学,李俊、王老师、老庄,,这一期我们聊了春节AI红包大战的数据盘点、今年两会、中东新的战火和千问迷局。,人工智能；数据与科学；社会生活,pie-ep204.mp3.srt
特别篇·四周年,2026-03-15,四周年活动实录,李俊、王老师、老庄,听友,四周年线上直播实录（有删减）。,媒体与信息；节目与社群,pie-4th-anniversary.mp3.srt
第205期,2026-03-22,招学生还是AI,李俊、王老师、老庄,,今天我们聊了霍尔木兹海峡、NVIDIA开发者大会、十五五的开源、找学生还是AI以及AI时髦词汇鉴伪，当然还有3月的荐书（以及其他）。,人工智能；开源；软件开发；教育与学习,pie-ep205.mp3.srt
第206期,2026-03-29,新软件危机,李俊、王老师、老庄,,这一期我们聊了 NeurIPS、Manus 与 VIE、某中学的鸟巢、LiteLLM 供应链攻击、以及地平线上的第二次软件危机。,软件开发,pie-ep206.mp3.srt
第207期,2026-04-05,Copyleft的终局？,李俊、王老师、老庄,,这期我们聊了懂王解放日一周年、X官方大翻译、人在回路的开发方式以及开源生态面临的险峻局面。,开源；软件开发；国际政治；节目与社群,pie-ep207.mp3.srt
第208期,2026-04-12,做产品难,李俊、王老师、老庄,,这期我们聊了两岸的事、美国登月项目进展、美伊停火与谈判，还有关于微信的海量吐槽。,软件开发；国际政治；航天与军事,pie-ep208.mp3.srt
第209期,2026-04-18,张雪 vs 张雪峰,李俊、王老师、老庄,,这期我们聊了王老师和老庄最近参加行业会议听到的AI软件工程见闻，关于张雪和张雪峰的一些特别的思考，还有我们看到大语言模型研发与商业化的新趋势，当然还有4月的荐书（及其他）。,人工智能；软件开发；教育与学习,pie-ep209.mp3.srt
第210期,2026-04-25,DeepSeek-V4,李俊、王老师、老庄,,这一期我们聊了龙虾盒子、Agent 互操作、SpaceX 收购 Cursor，还有如何看待 DeepSeek-V4。,人工智能,pie-ep210.mp3.srt
第211期,2026-05-04,Manus 案的启示,李俊、王老师、老庄,,这期我们聊了老庄参加今年 2050 活动的分享、Manus 案的终局与启示、GitHub 的黑暗时刻还有爱奇艺与 AI 时代的演艺圈。,人工智能；开源,pie-ep211.mp3.srt
第212期,2026-05-10,穷玩 AI,李俊、王老师、老庄,,这一期我们聊了鲸鱼哥的 DeepSeek-TUI、日本右翼的奇葩表演、Elon Musk 和 Anthropic 的合作、穷人现在能怎么玩 AI Coding、穿越小说的历史观，还有最新一期名词鉴伪。,人工智能；历史与文化,pie-ep212.mp3.srt
第213期,2026-05-16,懂王来了 ver. 2026,李俊、王老师、老庄,,这期我们聊了懂王访华2.0，围绕 Bun、Zig、Rust 和 Claude Code 的编程大瓜，还有西媒越来越离谱的胡言乱语，当然还有五月的荐书（以及其他东西）。,软件开发；国际政治,pie-ep213.mp3.srt
第214期,2026-05-23,两部影片的故事,李俊、王老师、老庄,,本期我们聊了懂王访问的余波、antirez 的 DS4 本地工具链、美国的反 AI 浪潮、近期两部影片的故事，还有越来越受关注的软件工程师的培养问题。,人工智能；软件开发；国际政治；游戏与文娱,pie-ep214.mp3.srt
第215期,2026-05-30,如何理解韬定律,李俊、王老师、老庄,,这一期我们聊了鲸鱼哥中国行的是是非非、小米和罗福莉的过度营销、DeepSeek 融资、教皇的人工智能通谕，还有华为的韬（τ）定律。,人工智能；互联网与平台；国际政治,pie-ep215.mp3.srt
第216期,2026-06-06,教育的体系性挑战,李俊、王老师、老庄,,本期我们聊了今年的香会、X 的新生态、教育的体系性挑战以及后 AI 时代的语言沟通能力。,人工智能；教育与学习,pie-ep216.mp3.srt
第217期,2026-06-13,一年一度话高考,李俊、王老师、老庄,,这一期我们聊了世界杯、大嘴新吹的牛、印度程序员、高考还有钉钉的事情。,软件开发；教育与学习；国际政治；体育,pie-ep217.mp3.srt
第218期,2026-06-22,到底啥是 AGI,李俊、王老师、老庄,,这期我们聊了美伊、新加坡、三哥、AI 重写复杂商业软件的可行性、网络测评活动规范，新一期名词鉴伪，还有六月的荐书（以及其他东西）。,人工智能；软件开发,pie-ep218.mp3.srt
第219期,2026-06-27,AI对教育的惩罚？,李俊、王老师、老庄,,这一期我们聊了具身智能测评领域的进展、DeepSeek 大扩招、英国换首相还有关于 AI 对初等教育影响的研究。,人工智能；教育与学习,pie-ep219.mp3.srt
第220期,2026-07-04,美国 250 年,李俊、王老师、老庄,,这周我们聊了世界杯、印度籍员工传闻、中美 AI 脱钩、低空经济的安全、欧洲热浪袭来之后，以及美国建国 250 年。,人工智能；国际政治；经济与产业；体育,pie-ep220.mp3.srt
第221期,2026-07-11,长十乙王者归来,李俊、王老师、老庄,,这一期我们聊了长征十号乙首飞、潜射导弹、Anthropic 神学论文、王老师勇闯高温欧洲见闻，还有前华为天才少年对战 DeepSeek 的故事。,人工智能；互联网与平台；教育与学习；国际政治；航天与军事,pie-ep221.mp3.srt
第222期,2026-07-18,世界杯和中国足球,李俊、王老师、老庄,,本期我们聊了今年高规格的 WAIC、美国新的开源模型、世界杯与中国足球、求真书院的改革还有智能体的下一波趋势。,人工智能；开源；国际政治；体育,pie-ep222.mp3.srt
第223期,2026-07-26,2nd IMPACT,李俊、王老师、老庄,,这期我们聊了菲尔兹奖、东瀛近况、梁圣语录、OpenAI 夜袭 HuggingFace、Kimi K3 引发的 AI 大冲击，还有7月的荐书（这次都是书，算是吧）。,人工智能,pie-ep223.mp3.srt
第224期,2026-08-01,AI 大势加速演进,李俊、王老师、老庄,,这一期我们聊了柯洁、伪史论、反思怪、东野圭吾，还有加速演进的这一代 AI 科技大势。,人工智能；历史与文化；体育,pie-ep224.mp3.srt
第225期,2026-08-08,BYD 白船事件,李俊、王老师、老庄,,这一期我们聊了竹知了、中美互联网巨头在AI十字路口、BYD 的 RACCO，还有同济计划取消终身教职的事情。,人工智能；互联网与平台,pie-ep225.mp3.srt
